rut_cliente;nombre_cliente;monto;banco_destino;cuenta_destino;referencia_banco
20770931-K;CRISTOBAL FUENTES MORALES;678307.85;BANCO ESTADO;180777594736;REF-2026-000107
16066374-K;SEBASTIAN TORRES SEPULVEDA;1394538.51;BANCO CHILE;097442742929;REF-2026-000108
15553444-3;ANTONIA MORALES MUNOZ;1625150.51;BANCO CHILE;957307369546;REF-2026-000109
23206419-6;CATALINA FUENTES SOTO;398389.66;BANCO FALABELLA;832602880237;REF-2026-000110
21726652-1;CATALINA SOTO CONTRERAS;565057.70;BANCO SANTANDER;318516936790;REF-2026-000111
19700736-2;NICOLAS MUNOZ PEREZ;1326252.77;BCI;175847185866;REF-2026-000112
15427044-2;TOMAS PEREZ FLORES;860618.11;BCI;928679680601;REF-2026-000113
8807123-9;CATALINA MUNOZ ROJAS;1050169.91;SCOTIABANK;776279701940;REF-2026-000114
14174617-0;SEBASTIAN TORRES TORRES;42713009.00;ITAU;162281455424;REF-2026-000115
17871010-9;VALENTINA VALDES ARAYA;1570088.17;BANCO ESTADO;848295030873;REF-2026-000116
18923157-1;JAVIERA ARAYA MARTINEZ;1725816.00;SCOTIABANK;330535879738;REF-2026-000117
24694361-3;ISIDORA TORRES ROJAS;941477.68;ITAU;367554516218;REF-2026-000118
23519275-6;TOMAS LOPEZ HERNANDEZ;1961332.41;BCI;769716573635;REF-2026-000119
13012984-6;ISIDORA LOPEZ SILVA;1800189.99;BANCO SECURITY;349079814698;REF-2026-000120
20870449-4;CONSTANZA LOPEZ ROJAS;1043779.04;BANCO SANTANDER;364312058510;REF-2026-000121
8367677-9;CATALINA MUNOZ ARAYA;1914334.58;BANCO CHILE;158721695267;REF-2026-000122
18756599-5;FRANCISCA GONZALEZ TORRES;1643977.33;BANCO FALABELLA;763886090135;REF-2026-000123
18337327-7;CAMILA MORALES FLORES;801937.40;ITAU;597452343376;REF-2026-000124
25718501-K;CAMILA SILVA SEPULVEDA;abc;BCI;102991584928;REF-2026-000125
19561666-3;PEDRO MUNOZ HERNANDEZ;353892.88;SCOTIABANK;034944947897;REF-2026-000126
6543200-5;JAVIERA SOTO SEPULVEDA;756752.47;BANCO SECURITY;267913189856;REF-2026-000127
22822984-9;SEBASTIAN ESPINOZA DIAZ;361481.22;BANCO ESTADO;957100486993;REF-2026-000128
17836056-6;JORGE SILVA TORRES;1919341.74;BANCO SANTANDER;508803382689;REF-2026-000129
13522065-5;CATALINA MARTINEZ PEREZ;1890147.59;SCOTIABANK;600910770735;REF-2026-000130
10300782-8;CAMILA HERNANDEZ RODRIGUEZ;1237227.38;BANCO SECURITY;278842780911;REF-2026-000131
20328866-2;MATIAS CONTRERAS LOPEZ;1794574.61;BANCO ESTADO;418630618448;REF-2026-000132
24190541-1;CRISTOBAL ESPINOZA SEPULVEDA;1471494.37;BANCO CHILE;915733306314;REF-2026-000133
18281036-3;ANTONIA PEREZ ESPINOZA;1819177.87;BANCO CHILE;670631000910;REF-2026-000134
21667401-4;MATIAS SILVA VALDES;1686773.45;BCI;209892683171;REF-2026-000135
25833650-K;ANTONIA ROJAS MUNOZ;1899574.80;BANCO CHILE;865615283104;REF-2026-000136
19791571-4;JUAN ESPINOZA RODRIGUEZ;1540869.16;BANCO ESTADO;327029368922;REF-2026-000137
15962874-4;SEBASTIAN DIAZ CONTRERAS;282159.69;BANCO FALABELLA;553035807486;REF-2026-000138
14144500-6;DIEGO MARTINEZ TORRES;1696328.37;BANCO FALABELLA;129008204060;REF-2026-000139
20714593-9;CAMILA ROJAS SILVA;1808845.86;BANCO SECURITY;932867327856;REF-2026-000140
23700308-K;CRISTOBAL GONZALEZ LOPEZ;34189.33;BANCO ESTADO;406680216951;REF-2026-000141
13796677-8;ISIDORA LOPEZ RODRIGUEZ;232218.86;BCI;028794781513;REF-2026-000142
25788543-7;TOMAS MORALES VALDES;469240.82;BANCO ESTADO;905672171224;REF-2026-000143
20578233-8;MATIAS FUENTES MUNOZ;298133.05;BANCO CHILE;127669858209;REF-2026-000144
8261222-K;FELIPE FLORES ROJAS;820049.58;BANCO FALABELLA;768695941207;REF-2026-000145
23125852-3;SEBASTIAN ESPINOZA ROJAS;1861847.53;BANCO ESTADO;541451596522;REF-2026-000146
25657860-3;SEBASTIAN MARTINEZ SOTO;1452623.47;BCI;488235620303;REF-2026-000147
12922625-0;CRISTOBAL MUNOZ RODRIGUEZ;1146827.82;BANCO FALABELLA;435051757557;REF-2026-000148
14257045-9;VALENTINA MUNOZ HERNANDEZ;197253.84;BCI;703835768946;REF-2026-000149
25036893-3;MARIA SOTO MORALES;515800.16;BCI;911827745104;REF-2026-000150
23596127-K;VALENTINA ESPINOZA CONTRERAS;1710095.29;BANCO FALABELLA;163239677678;REF-2026-000151
24997825-6;MARIA MARTINEZ ROJAS;277613.69;SCOTIABANK;193408151781;REF-2026-000152
5865038-2;FRANCISCA PEREZ RODRIGUEZ;abc;BCI;355716422315;REF-2026-000153
5529525-5;DIEGO MARTINEZ SOTO;270831.94;BANCO SECURITY;127813571724;REF-2026-000154
7132653-5;NICOLAS HERNANDEZ RODRIGUEZ;1081338.75;BANCO ESTADO;552697162395;REF-2026-000155
12433976-6;JORGE SOTO ARAYA;637564.58;BANCO CHILE;930770147567;REF-2026-000156
18476038-K;SEBASTIAN MUNOZ TORRES;1499013.56;BANCO ESTADO;090761667273;REF-2026-000157
15808279-9;JORGE ROJAS GONZALEZ;269642.35;BANCO FALABELLA;583386363435;REF-2026-000158
14895126-8;CATALINA ARAYA VALDES;907193.12;BANCO ESTADO;721922255341;REF-2026-000159
23499740-8;VALENTINA FUENTES HERNANDEZ;1867461.29;BANCO SECURITY;908693799652;REF-2026-000160
20216898-1;CONSTANZA FUENTES MUNOZ;660461.54;BANCO FALABELLA;283029490777;REF-2026-000161
17559458-2;FRANCISCA TORRES GONZALEZ;196312.10;BANCO ESTADO;105934110625;REF-2026-000162
17503953-8;FRANCISCA FLORES SOTO;1234906.71;BANCO FALABELLA;137021671257;REF-2026-000163
18784450-9;CRISTOBAL FUENTES SOTO;608202.76;SCOTIABANK;114179458577;REF-2026-000164
24391727-1;FERNANDA CONTRERAS ROJAS;1382275.61;BCI;120603134767;REF-2026-000165
16747876-K;TOMAS RODRIGUEZ MUNOZ;1604299.35;BCI;472618424652;REF-2026-000166
23822885-9;JORGE VALDES FLORES;60058.77;SCOTIABANK;198692848598;REF-2026-000167
14169432-4;MATIAS MORALES RODRIGUEZ;17804.23;BANCO SANTANDER;724986836311;REF-2026-000168
18448091-3;CAMILA ROJAS PEREZ;197429.95;BCI;462177243339;REF-2026-000169
20221826-1;JAVIERA DIAZ RODRIGUEZ;51827260.00;BANCO FALABELLA;656272824750;REF-2026-000170
7850685-7;JUAN ROJAS DIAZ;1587166.79;BANCO CHILE;089794019516;REF-2026-000171
14130256-6;CATALINA FUENTES TORRES;1278130.56;BANCO SECURITY;238396443949;REF-2026-000172
22191489-9;PEDRO RODRIGUEZ FUENTES;237552.36;ITAU;733407605075;REF-2026-000173
15348837-1;JUAN SILVA LOPEZ;90440035.00;BANCO CHILE;224371315180;REF-2026-000174
15113955-8;VALENTINA ROJAS MARTINEZ;612014.41;BANCO ESTADO;546494046286;REF-2026-000175
19450384-9;DIEGO ROJAS LOPEZ;1121906.90;BCI;617328933739;REF-2026-000176
16883878-6;CAMILA LOPEZ SOTO;919818.02;ITAU;086560741164;REF-2026-000177
15504571-K;ISIDORA FUENTES ESPINOZA;853136.90;BANCO SECURITY;126797509938;REF-2026-000178
18590629-9;MARIA MORALES DIAZ;1685494.79;ITAU;760487768166;REF-2026-000179
17141761-9;CAMILA FUENTES MUNOZ;515271.55;BANCO SECURITY;089149747921;REF-2026-000180
18279726-K;MATIAS MORALES SILVA;703495.99;BANCO SANTANDER;559673795404;REF-2026-000181
8826099-6;FERNANDA ARAYA CONTRERAS;1904857.99;BANCO FALABELLA;801371878921;REF-2026-000182
9955648-K;FELIPE MUNOZ ROJAS;541804.25;BANCO SANTANDER;171091008492;REF-2026-000183
7528436-5;DIEGO TORRES HERNANDEZ;1587187.72;ITAU;623263658623;REF-2026-000184
25955473-K;JAVIERA MORALES ROJAS;927249.08;ITAU;694389003818;REF-2026-000185
15160967-8;ANTONIA ESPINOZA SOTO;743076.64;BANCO ESTADO;509139332488;REF-2026-000186
20163713-9;JUAN SOTO RODRIGUEZ;1749194.36;BANCO ESTADO;952956593813;REF-2026-000187
8029847-1;JORGE VALDES ARAYA;811318.59;BANCO CHILE;999364004203;REF-2026-000188
24181615-K;VALENTINA MORALES VALDES;1002466.64;BANCO SANTANDER;069537895666;REF-2026-000189
20117047-8;PEDRO MORALES GONZALEZ;1063115.82;BANCO SANTANDER;271751053808;REF-2026-000190
19688730-K;CATALINA ARAYA ARAYA;1283854.20;BANCO FALABELLA;427416780991;REF-2026-000191
18716024-3;JAVIERA VALDES SOTO;1660128.80;BANCO FALABELLA;362060342132;REF-2026-000192
8171093-7;TOMAS LOPEZ SEPULVEDA;533473.92;BANCO SANTANDER;088331124984;REF-2026-000193
24553493-0;FRANCISCA RODRIGUEZ SEPULVEDA;1380846.89;BANCO SECURITY;654388872137;REF-2026-000194
7842698-5;MATIAS FLORES LOPEZ;1354503.42;BANCO SANTANDER;772677274007;REF-2026-000195
22662829-0;CAMILA FUENTES ARAYA;763808.02;BANCO FALABELLA;199895065308;REF-2026-000196
12187113-0;JAVIERA TORRES CONTRERAS;480095.17;BANCO SANTANDER;323453968724;REF-2026-000197
8393720-3;FERNANDA FLORES ARAYA;84162.84;BANCO FALABELLA;846577668293;REF-2026-000198
25737694-K;FRANCISCA VALDES LOPEZ;328491.20;BANCO SANTANDER;764779811221;REF-2026-000199
25962811-3;DIEGO HERNANDEZ SOTO;866632.46;BCI;490495655793;REF-2026-000200
25488182-1;MATIAS HERNANDEZ SILVA;1124902.30;SCOTIABANK;894205436233;REF-2026-000201
20737552-7;VALENTINA RODRIGUEZ ESPINOZA;928999.59;SCOTIABANK;420953844996;REF-2026-000202
21874748-5;FERNANDA FUENTES DIAZ;1718145.25;BANCO SANTANDER;279627421655;REF-2026-000203
6750863-7;NICOLAS RODRIGUEZ FLORES;1964355.13;BANCO ESTADO;092418649552;REF-2026-000204
10379189-8;ANTONIA HERNANDEZ ARAYA;314012.55;BANCO ESTADO;899601810842;REF-2026-000205
20137343-3;CRISTOBAL PEREZ FUENTES;116687.50;BANCO FALABELLA;422919454119;REF-2026-000206
7738224-0;CRISTOBAL SILVA PEREZ;673330.12;BANCO FALABELLA;163312743925;REF-2026-000207
9617076-9;JUAN SEPULVEDA TORRES;1464768.17;ITAU;677236594141;REF-2026-000208
5176200-2;CAMILA PEREZ MARTINEZ;457260.19;BANCO SECURITY;851881068534;REF-2026-000209
14667084-9;FELIPE SEPULVEDA MUNOZ;105137.30;BANCO SECURITY;875622637873;REF-2026-000210
25898054-9;CATALINA GONZALEZ MUNOZ;1759661.63;BANCO CHILE;566354941578;REF-2026-000211
24295390-8;FELIPE ROJAS SEPULVEDA;905179.00;BANCO FALABELLA;629098440767;REF-2026-000212
18977689-6;DIEGO GONZALEZ ARAYA;761240.08;BANCO CHILE;960454693021;REF-2026-000213
20775115-0;CONSTANZA RODRIGUEZ MARTINEZ;1572236.02;BANCO FALABELLA;077401111736;REF-2026-000214
16569651-4;FELIPE MUNOZ ESPINOZA;1546798.96;BANCO FALABELLA;048817630111;REF-2026-000215
16821194-5;TOMAS MORALES DIAZ;1746440.99;ITAU;769716765015;REF-2026-000216
21056841-7;DIEGO ROJAS GONZALEZ;1506655.99;ITAU;323281391379;REF-2026-000217
11764271-2;JUAN CONTRERAS SOTO;666852.39;BANCO SECURITY;898601447225;REF-2026-000218
23221086-9;NICOLAS MARTINEZ SOTO;1584765.82;BCI;393070860877;REF-2026-000219
6604037-2;JAVIERA MARTINEZ MUNOZ;1681342.47;BANCO SECURITY;442906979680;REF-2026-000220
19755112-7;CONSTANZA MORALES DIAZ;1045613.88;ITAU;571360021335;REF-2026-000221
13949661-2;CAMILA FUENTES GONZALEZ;908048.77;BANCO SANTANDER;325465341900;REF-2026-000222
15778067-0;PEDRO GONZALEZ MORALES;1391048.37;SCOTIABANK;664340157198;REF-2026-000223
19298082-8;DIEGO HERNANDEZ RODRIGUEZ;942698.05;BANCO FALABELLA;303515765955;REF-2026-000224
6924617-6;CAMILA LOPEZ RODRIGUEZ;1081019.95;BANCO SANTANDER;035156970372;REF-2026-000225
9790883-4;JORGE HERNANDEZ SOTO;269723.08;BCI;713013301904;REF-2026-000226
17291943-K;CRISTOBAL LOPEZ ESPINOZA;72916.77;BANCO SANTANDER;497837788361;REF-2026-000227
17447503-2;CRISTOBAL HERNANDEZ GONZALEZ;1208601.17;BANCO FALABELLA;346306926900;REF-2026-000228
14351276-2;FELIPE MUNOZ PEREZ;1547822.23;ITAU;428425461312;REF-2026-000229
23846608-3;PEDRO MARTINEZ MARTINEZ;1481474.57;BCI;675294253754;REF-2026-000230
14582369-8;VALENTINA MUNOZ ROJAS;1793506.09;ITAU;989584031500;REF-2026-000231
19935453-1;CAMILA MORALES RODRIGUEZ;1493014.08;SCOTIABANK;331245754935;REF-2026-000232
10284999-K;DIEGO RODRIGUEZ ARAYA;475268.15;BCI;154725751531;REF-2026-000233
12943548-8;;1662532.63;BANCO CHILE;608140427507;REF-2026-000234
24202443-5;CRISTOBAL HERNANDEZ FLORES;277149.78;BANCO ESTADO;340584802361;REF-2026-000235
18360031-1;NICOLAS ARAYA FUENTES;1618054.52;BANCO ESTADO;;REF-2026-000236
9205268-0;JAVIERA GONZALEZ HERNANDEZ;981923.87;BANCO FALABELLA;963623867250;REF-2026-000237
23498673-2;ISIDORA DIAZ ROJAS;912266.64;BANCO CHILE;137714782517;REF-2026-000238
22384622-K;FRANCISCA SEPULVEDA DIAZ;344669.41;BCI;;REF-2026-000239
16610607-9;FERNANDA SEPULVEDA GONZALEZ;530557.25;SCOTIABANK;688732369667;REF-2026-000240
15161107-9;JORGE FLORES GONZALEZ;1058972.82;BANCO SANTANDER;170997582302;REF-2026-000241
10744539-0;JORGE VALDES MORALES;1771913.72;BANCO CHILE;953732135176;REF-2026-000242
5952056-3;CAMILA SOTO ESPINOZA;560023.83;BCI;631359289027;REF-2026-000243
18978332-9;JORGE PEREZ TORRES;1869361.80;SCOTIABANK;530578461757;REF-2026-000244
13216739-7;CONSTANZA SEPULVEDA HERNANDEZ;158035.88;BANCO CHILE;482715287513;REF-2026-000245
18945951-3;NICOLAS HERNANDEZ CONTRERAS;718435.77;BANCO SANTANDER;947235336719;REF-2026-000246
15714480-4;CRISTOBAL LOPEZ ROJAS;1600230.47;BANCO ESTADO;264363597372;REF-2026-000247
20652222-4;PEDRO MARTINEZ HERNANDEZ;524923.18;BANCO ESTADO;319044927983;REF-2026-000248
25648640-7;SEBASTIAN SILVA DIAZ;N/A;BANCO FALABELLA;636370624829;REF-2026-000249
15492971-1;VALENTINA DIAZ TORRES;1084456.59;ITAU;339783050311;REF-2026-000250
21688977-0;MARIA GONZALEZ LOPEZ;1064993.58;BCI;641874165350;REF-2026-000251
16841194-4;JUAN SOTO SEPULVEDA;1042868.76;ITAU;590637799519;REF-2026-000252
5274388-5;PEDRO FUENTES ROJAS;1855643.33;BANCO FALABELLA;446662371308;REF-2026-000253
17278820-3;JUAN LOPEZ SOTO;1200967.71;BCI;608147416489;REF-2026-000254
14683866-9;CAMILA LOPEZ ARAYA;949461.97;SCOTIABANK;751001111711;REF-2026-000255
25503205-4;PEDRO ROJAS MUNOZ;831075.47;BANCO FALABELLA;831498955541;REF-2026-000256
9840809-6;VALENTINA VALDES ARAYA;846769.64;BANCO CHILE;039849282100;REF-2026-000257
9598177-1;JAVIERA TORRES ARAYA;963374.19;BANCO SANTANDER;351525458521;REF-2026-000258
10452663-2;CONSTANZA VALDES SEPULVEDA;1250130.43;ITAU;622519304910;REF-2026-000259
15059302-6;NICOLAS PEREZ RODRIGUEZ;699659.86;BANCO ESTADO;460475163381;REF-2026-000260
24585793-4;MATIAS PEREZ VALDES;1000287.33
24410377-4;ISIDORA SILVA SOTO;1228737.61;BANCO SANTANDER;694741295384;REF-2026-000262
25794882-K;CONSTANZA ROJAS SILVA;71208.73;BANCO ESTADO;018999281655;REF-2026-000263
19798798-7;JAVIERA FUENTES ROJAS;871040.88;BCI;552518371426;REF-2026-000264
25517798-2;NICOLAS SOTO ROJAS;1092757.26;BANCO FALABELLA;731136378095;REF-2026-000265
21051466-K;FERNANDA LOPEZ MORALES;368189.58;BANCO FALABELLA;389893282253;REF-2026-000266
13870522-6;JORGE TORRES CONTRERAS;521988.35;SCOTIABANK;848386802116;REF-2026-000267
14697369-8;VALENTINA TORRES MORALES;1011220.44;SCOTIABANK;135380032135;REF-2026-000268
